node_id,name,node_time,subpop_id,parent_id,color_trait_0,transmissibility_1
159,.,517,-1,184,#5ec962,1.6624538584660749
22,811.9002,811,9002,159,#5ec962,1.6624538584660749
152,3595.6320,3595,6320,159,#5ec962,1.6624538584660749
296,.,20,-1,297,#5ec962,1.6624538584660749
292,.,26,-1,296,#5ec962,1.6624538584660749
55,1390.3184,1390,3184,292,#5ec962,1.6624538584660749
281,.,79,-1,292,#5ec962,1.6624538584660749
82,1924.5919,1924,5919,281,#5ec962,1.6624538584660749
257,.,143,-1,281,#5ec962,1.6624538584660749
38,1068.2008,1068,2008,257,#5ec962,1.6624538584660749
236,.,173,-1,257,#5ec962,1.6624538584660749
29,909.6498,909,6498,236,#5ec962,1.6624538584660749
226,.,183,-1,236,#5ec962,1.6624538584660749
204,.,219,-1,226,#5ec962,1.6624538584660749
17,692.4569,692,4569,204,#5ec962,1.6624538584660749
122,2973.9795,2973,9795,204,#5ec962,2.2493667319432777
217,.,203,-1,226,#5ec962,1.6624538584660749
169,.,318,-1,217,#5ec962,1.6624538584660749
